entidad,delselec,sexoidtt,sexoid1,sexoid2,sexoid3
"01",10101,"NSS","NSS","NSS","NSS"
"01",10102,"NSS","NSS","NSS","NSS"
"01",60200,"NSS","NSS","NSS","NSS"
"01",60201,"NSS","NSS","NSS","NSS"
"01",60202,"NSS","NSS","NSS","NSS"
"01",60203,"NSS","NSS","NSS","NSS"
"01",60209,"NSS","NSS","NSS","NSS"
"01",60299,"","","",""
"01",999999,"","","",""
"02",10101,"86","53","11","22"
"02",10102,"NSS","NSS","NSS","NSS"
"02",60200,"7","NSS","4","3"
"02",60201,"2","NSS","2","0"
"02",60202,"NSS","NSS","NSS","NSS"
"02",60203,"NSS","NSS","NSS","NSS"
"02",60209,"NSS","NSS","NSS","NSS"
"02",60299,"5","","2","3"
"02",999999,"","","",""
"03",10101,"NSS","NSS","NSS","NSS"
"03",10102,"NSS","NSS","NSS","NSS"
"03",60200,"NSS","0","NSS","0"
"03",60201,"NSS","0","NSS","0"
"03",60202,"NSS","0","NSS","0"
"03",60203,"NSS","0","NSS","0"
"03",60209,"NSS","0","NSS","0"
"03",60299,"","","",""
"03",999999,"","","",""
"04",10101,"NSS","NSS","NSS","NSS"
"04",10102,"NSS","NSS","NSS","NSS"
"04",60200,"NSS","0","NSS","0"
"04",60201,"NSS","0","NSS","0"
"04",60202,"NSS","0","NSS","0"
"04",60203,"NSS","0","NSS","0"
"04",60209,"NSS","0","NSS","0"
"04",60299,"","","",""
"04",999999,"","","",""
"05",10101,"58","49","9","0"
"05",10102,"20","17","3","0"
"05",60200,"0","0","0","0"
"05",60201,"0","0","0","0"
"05",60202,"0","0","0","0"
"05",60203,"0","0","0","0"
"05",60209,"0","0","0","0"
"05",60299,"","","",""
"05",999999,"","","",""
"06",10101,"NSS","NSS","0","0"
"06",10102,"0","0","0","0"
"06",60200,"0","0","0","0"
"06",60201,"0","0","0","0"
"06",60202,"0","0","0","0"
"06",60203,"0","0","0","0"
"06",60209,"0","0","0","0"
"06",60299,"","","",""
"06",999999,"","","",""
"07",10101,"NSS","NSS","NSS","NSS"
"07",10102,"NSS","NSS","NSS","NSS"
"07",60200,"NSS","NSS","NSS","0"
"07",60201,"NSS","NSS","NSS","0"
"07",60202,"NSS","NSS","NSS","0"
"07",60203,"NSS","NSS","NSS","0"
"07",60209,"NSS","NSS","NSS","0"
"07",60299,"","","",""
"07",999999,"","","",""
"08",10101,"324","268","56","0"
"08",10102,"72","53","19","0"
"08",60200,"5","3","2","0"
"08",60201,"5","3","2","0"
"08",60202,"0","0","0","0"
"08",60203,"0","0","0","0"
"08",60209,"0","0","0","0"
"08",60299,"","","",""
"08",999999,"","","",""
"09",10101,"673","561","111","1"
"09",10102,"281","158","119","4"
"09",60200,"1210","48","1161","1"
"09",60201,"0","0","0","0"
"09",60202,"0","0","0","0"
"09",60203,"0","0","0","0"
"09",60209,"1210","48","1161","1"
"09",60299,"","","",""
"09",999999,"","","",""
"10",10101,"90","NSS","NSS","90"
"10",10102,"57","NSS","NSS","57"
"10",60200,"0","0","0","0"
"10",60201,"0","0","0","0"
"10",60202,"0","0","0","0"
"10",60203,"0","0","0","0"
"10",60209,"0","0","0","0"
"10",60299,"","","",""
"10",999999,"","","",""
"12",10101,"NSS","NSS","NSS","NSS"
"12",10102,"NSS","NSS","NSS","NSS"
"12",60200,"0","0","0","0"
"12",60201,"0","0","0","0"
"12",60202,"0","0","0","0"
"12",60203,"0","0","0","0"
"12",60209,"0","0","0","0"
"12",60299,"","","",""
"12",999999,"","","",""
"13",10101,"98","88","9","1"
"13",10102,"84","47","35","2"
"13",60200,"1","0","1","0"
"13",60201,"NSS","0","NSS","0"
"13",60202,"NSS","0","NSS","0"
"13",60203,"NSS","0","NSS","0"
"13",60209,"NSS","0","NSS","0"
"13",60299,"1","","1",""
"13",999999,"","","",""
"14",10101,"NSS","NSS","NSS","NSS"
"14",10102,"NSS","NSS","NSS","NSS"
"14",60200,"0","0","0","0"
"14",60201,"0","0","0","0"
"14",60202,"0","0","0","0"
"14",60203,"0","0","0","0"
"14",60209,"0","0","0","0"
"14",60299,"","","",""
"14",999999,"","","",""
"15",10101,"NSS","NSS","NSS","NSS"
"15",10102,"NSS","NSS","NSS","NSS"
"15",60200,"NSS","NSS","NSS","NSS"
"15",60201,"NSS","NSS","NSS","NSS"
"15",60202,"NSS","NSS","NSS","NSS"
"15",60203,"NSS","NSS","NSS","NSS"
"15",60209,"NSS","NSS","NSS","NSS"
"15",60299,"","","",""
"15",999999,"","","",""
"16",10101,"NSS","NSS","NSS","NSS"
"16",10102,"NSS","NSS","NSS","NSS"
"16",60200,"0","0","0","0"
"16",60201,"0","0","0","0"
"16",60202,"0","0","0","0"
"16",60203,"0","0","0","0"
"16",60209,"0","0","0","0"
"16",60299,"","","",""
"16",999999,"","","",""
"17",10101,"NSS","NSS","NSS","NSS"
"17",10102,"0","0","0","0"
"17",60200,"0","0","0","0"
"17",60201,"0","0","0","0"
"17",60202,"0","0","0","0"
"17",60203,"0","0","0","0"
"17",60209,"0","0","0","0"
"17",60299,"","","",""
"17",999999,"","","",""
"18",10101,"NSS","NSS","NSS","NSS"
"18",10102,"NSS","NSS","NSS","NSS"
"18",60200,"0","0","0","0"
"18",60201,"0","0","0","0"
"18",60202,"0","0","0","0"
"18",60203,"0","0","0","0"
"18",60209,"0","0","0","0"
"18",60299,"","","",""
"18",999999,"","","",""
"19",10101,"NSS","NSS","NSS","NSS"
"19",10102,"NSS","NSS","NSS","NSS"
"19",60200,"NSS","NSS","NSS","NSS"
"19",60201,"NSS","NSS","NSS","NSS"
"19",60202,"NSS","NSS","NSS","NSS"
